"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xf922952246bda88a9149624771e1535b00a9691c04abbabc6432492e71a97f7c","12367648","1636052990","2021-11-04 19:09:50","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0x29a1509ee066a66e4a844f3e2391e9585cace9f5","3,827,894,505,000.909393364","Swap ETH For Exact Tokens"
"0xa451f530280630c09135db9cf89695f9952bbc29b32ad8e7119cabbf23210b96","12367661","1636053029","2021-11-04 19:10:29","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0xa59254bc6aca918b5bb77416955d9fa5ecd9d968","203,323,500,000.049994137","Swap ETH For Exact Tokens"
"0xa451f530280630c09135db9cf89695f9952bbc29b32ad8e7119cabbf23210b96","12367661","1636053029","2021-11-04 19:10:29","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0x29a1509ee066a66e4a844f3e2391e9585cace9f5","3,698,454,465,000.909393364","Swap ETH For Exact Tokens"
"0xf13f853ab03635e4d3b60a65a516e0c04b5187d7797bfc8553f3c7aee85557ac","12367671","1636053059","2021-11-04 19:10:59","0xdb1d151c986ca957adf473d6de6431888b71957c","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","250,000,000,000","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens"
"0xf13f853ab03635e4d3b60a65a516e0c04b5187d7797bfc8553f3c7aee85557ac","12367671","1636053059","2021-11-04 19:10:59","0xdb1d151c986ca957adf473d6de6431888b71957c","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","249,638,360,161.169691505","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens"
"0xf13f853ab03635e4d3b60a65a516e0c04b5187d7797bfc8553f3c7aee85557ac","12367671","1636053059","2021-11-04 19:10:59","0xf0dddfdbb6c1595aa846b32616afdc5679c74c85","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","363,800,000,000","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens"
"0x64533ddadfdcdeeeae686e6fa8a5f9e4ec6a3991c8193c9259ff6b2ea3972d3b","12367682","1636053092","2021-11-04 19:11:32","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0xa59254bc6aca918b5bb77416955d9fa5ecd9d968","197,576,000,000.04999086","Swap ETH For Exact Tokens"
"0x64533ddadfdcdeeeae686e6fa8a5f9e4ec6a3991c8193c9259ff6b2ea3972d3b","12367682","1636053092","2021-11-04 19:11:32","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0x29a1509ee066a66e4a844f3e2391e9585cace9f5","3,593,907,440,000.90933376","Swap ETH For Exact Tokens"
"0x75ad2b768f38470bfcfd29d93106f56b8a2e494754dbc835eda93ce71c061b86","12367706","1636053164","2021-11-04 19:12:44","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0xa59254bc6aca918b5bb77416955d9fa5ecd9d968","73,363,500,000.049994137","Swap ETH For Exact Tokens"
"0x75ad2b768f38470bfcfd29d93106f56b8a2e494754dbc835eda93ce71c061b86","12367706","1636053164","2021-11-04 19:12:44","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0x29a1509ee066a66e4a844f3e2391e9585cace9f5","1,334,482,065,000.909393364","Swap ETH For Exact Tokens"
"0x753941529b4ab91cdac982ec9b4fa783212e9420c512989a0d50de9a3998dc36","12367720","1636053206","2021-11-04 19:13:26","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0xa59254bc6aca918b5bb77416955d9fa5ecd9d968","3,835,674,376.503518355","Swap Exact ETH For Tokens"
"0x753941529b4ab91cdac982ec9b4fa783212e9420c512989a0d50de9a3998dc36","12367720","1636053206","2021-11-04 19:13:26","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0x88f63c23ee7351cb9fc1b1617f2ea801fe8412f5","69,770,916,908.598998885","Swap Exact ETH For Tokens"
"0x1821fb8a95e826eb27a3b3a4e89f420eb9239b4725bf471ebe3f0821121536b5","12367758","1636053320","2021-11-04 19:15:20","0x3982d2e9bf803d83668ae47f004c0ed9a96bb019","0xa59254bc6aca918b5bb77416955d9fa5ecd9d968","13,404,900,000.449999667","Swap ETH For Exact Tokens"
